"ORDEN
ALFABÉTICO";"ORDEN 
PRESUPUESTAL";DEPARTAMENTO;PROVINCIA;GOBIERNOS LOCALES; PIA ; PIM ;Puntaje de PIM; Certificación ; Compromiso Anual ; Atención de Compromiso Mensual  ; Devengado  ; Girado  ;Avance % ;Puntaje de Avance; Población ;Puntaje de Población;TOTAL;;;;;;;;;;;;
645;248;ICA;NAZCA;110304-300988: MUNICIPALIDAD DISTRITAL DE MARCONA; S/-   ; S/2,182,104 ;5; S/2,182,100 ; S/1,391,536 ; S/1,366,655 ; S/1,366,654 ; S/1,366,654 ;62.6;3; S/18,046 ;3;11;;;;;;;;;;;;
771;249;LA LIBERTAD;PATAZ;130808-301183: MUNICIPALIDAD DISTRITAL DE PARCOY; S/-   ; S/8,904,465 ;5; S/8,904,452 ; S/5,545,160 ; S/5,545,160 ; S/5,545,160 ; S/5,545,160 ;62.3;3; S/21,147 ;3;11;;;;;;;;;;;;
512;250;HUANCAVELICA;HUANCAVELICA;090103-300794: MUNICIPALIDAD DISTRITAL DE ACORIA; S/1,827,536 ; S/3,851,668 ;5; S/3,848,993 ; S/3,411,913 ; S/3,411,913 ; S/2,315,977 ; S/2,315,977 ;60.1;3; S/17,056 ;3;11;;;;;;;;;;;;
304;251;AYACUCHO;LA MAR;050501-300471: MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL; S/388,000 ; S/1,877,226 ;5; S/1,100,756 ; S/1,090,487 ; S/1,082,883 ; S/1,082,883 ; S/1,082,883 ;57.7;2; S/75,277 ;4;11;;;;;;;;;;;;
626;252;ICA;ICA;110106-300965: MUNICIPALIDAD DISTRITAL DE PARCONA; S/674,874 ; S/2,879,977 ;5; S/2,605,233 ; S/1,654,012 ; S/1,654,011 ; S/1,654,011 ; S/1,654,011 ;57.4;2; S/60,173 ;4;11;;;;;;;;;;;;
737;253;LA LIBERTAD;TRUJILLO;130104-301130: MUNICIPALIDAD DISTRITAL DE HUANCHACO; S/641,261 ; S/1,196,789 ;5; S/1,047,349 ; S/652,322 ; S/651,930 ; S/629,052 ; S/629,052 ;52.6;2; S/87,192 ;4;11;;;;;;;;;;;;
333;254;CAJAMARCA;CAJAMARCA;060101-300549: MUNICIPALIDAD PROVINCIAL DE CAJAMARCA; S/21,000 ; S/756,696 ;4; S/753,858 ; S/701,514 ; S/368,838 ; S/368,838 ; S/368,838 ;48.7;2; S/388,170 ;5;11;;;;;;;;;;;;
204;255;AREQUIPA;AREQUIPA;040102-300332: MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE; S/3,162,778 ; S/4,536,011 ;5; S/4,500,732 ; S/4,072,883 ; S/3,952,624 ; S/2,038,695 ; S/2,038,695 ;44.9;2; S/88,537 ;4;11;;;;;;;;;;;;
212;256;AREQUIPA;AREQUIPA;040109-300339: MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR; S/89,682 ; S/1,610,030 ;5; S/975,190 ; S/663,186 ; S/663,186 ; S/663,186 ; S/663,186 ;41.2;2; S/64,442 ;4;11;;;;;;;;;;;;
348;257;CAJAMARCA;CHOTA;060401-300578: MUNICIPALIDAD PROVINCIAL DE CHOTA; S/1,178,861 ; S/3,655,304 ;5; S/3,254,983 ; S/3,018,399 ; S/2,691,880 ; S/1,461,318 ; S/1,461,318 ;40;1; S/151,714 ;5;11;;;;;;;;;;;;
819;258;LIMA;LIMA;150103-301252: MUNICIPALIDAD DISTRITAL DE ATE - VITARTE; S/4,310,250 ; S/13,809,472 ;5; S/13,028,478 ; S/6,038,250 ; S/6,036,258 ; S/4,039,089 ; S/4,039,089 ;29.2;1; S/670,818 ;5;11;;;;;;;;;;;;
976;259;PIURA;PIURA;200115-301849: MUNICIPALIDAD DISTRITAL VEINTISEIS DE OCTUBRE; S/-   ; S/1,043,224 ;5; S/951,705 ; S/361,929 ; S/348,949 ; S/255,832 ; S/255,832 ;24.5;1; S/163,664 ;5;11;;;;;;;;;;;;
374;260;CAJAMARCA;JAEN;060801-300623: MUNICIPALIDAD PROVINCIAL DE JAEN; S/90,480 ; S/1,556,810 ;5; S/930,970 ; S/419,580 ; S/419,580 ; S/348,944 ; S/348,944 ;22;1; S/106,009 ;5;11;;;;;;;;;;;;
360;261;CAJAMARCA;CUTERVO;060601-300605: MUNICIPALIDAD PROVINCIAL DE CUTERVO; S/-   ; S/2,569,035 ;5; S/2,301,153 ; S/916,156 ; S/605,429 ; S/540,030 ; S/540,030 ;21;1; S/123,948 ;5;11;;;;;;;;;;;;
413;262;CALLAO;PROV. CALLAO;070106-300682: MUNICIPALIDAD DISTRITAL DE VENTANILLA; S/2,982,014 ; S/14,304,252 ;5; S/11,218,552 ; S/11,209,294 ; S/2,804,240 ; S/2,798,720 ; S/2,798,720 ;19.6;1; S/369,618 ;5;11;;;;;;;;;;;;
1190;263;UCAYALI;CORONEL PORTILLO;250105-301820: MUNICIPALIDAD DISTRITAL DE YARINACOCHA; S/1,909,330 ; S/2,174,394 ;5; S/2,096,577 ; S/672,927 ; S/662,877 ; S/281,997 ; S/277,817 ;13;1; S/118,666 ;5;11;;;;;;;;;;;;
797;264;LAMBAYEQUE;CHICLAYO;140105-301216: MUNICIPALIDAD DISTRITAL DE JOSE LEONARDO ORTIZ; S/1,061,220 ; S/2,126,633 ;5; S/1,311,002 ; S/1,188,186 ; S/308,275 ; S/266,131 ; S/266,131 ;12.5;1; S/165,355 ;5;11;;;;;;;;;;;;
134;265;ANCASH;SANTA;021801-300224: MUNICIPALIDAD PROVINCIAL DEL SANTA - CHIMBOTE; S/18,244,360 ; S/16,672,772 ;5; S/10,411,693 ; S/1,184,125 ; S/1,184,125 ; S/1,059,496 ; S/1,059,496 ;6.4;1; S/474,053 ;5;11;;;;;;;;;;;;
853;266;LIMA;LIMA;150140-301289: MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO; S/5,459,714 ; S/5,546,041 ;5; S/332,586 ; S/182,206 ; S/182,206 ; S/182,206 ; S/182,206 ;3.3;1; S/408,086 ;5;11;;;;;;;;;;;;
1;267;AMAZONAS;BAGUA;010202-300023: MUNICIPALIDAD DISTRITAL DE ARAMANGO; S/-   ; S/42,000 ;2; S/42,000 ; S/42,000 ; S/42,000 ; S/42,000 ; S/42,000 ;100;5; S/10,149 ;3;10;;;;;;;;;;;;
11;268;AMAZONAS;BONGARA;010301-300028: MUNICIPALIDAD PROVINCIAL DE BONGARA - JUMBILLA; S/-   ; S/15,300 ;2; S/15,300 ; S/15,300 ; S/15,300 ; S/15,300 ; S/15,300 ;100;5; S/26,830 ;3;10;;;;;;;;;;;;
53;269;ANCASH;BOLOGNESI;020503-300112: MUNICIPALIDAD DISTRITAL DE ANTONIO RAYMONDI; S/-   ; S/9,500 ;2; S/9,500 ; S/9,500 ; S/9,500 ; S/9,500 ; S/9,500 ;100;5; S/13,950 ;3;10;;;;;;;;;;;;
117;270;ANCASH;PALLASCA;021501-300199: MUNICIPALIDAD PROVINCIAL DE PALLASCA - CABANA; S/-   ; S/15,450 ;2; S/15,450 ; S/15,450 ; S/15,450 ; S/15,450 ; S/15,450 ;100;5; S/24,371 ;3;10;;;;;;;;;;;;
226;271;AREQUIPA;AREQUIPA;040126-300356: MUNICIPALIDAD DISTRITAL DE YANAHUARA; S/36,000 ; S/15,200 ;2; S/15,200 ; S/15,200 ; S/15,200 ; S/15,200 ; S/15,200 ;100;5; S/26,354 ;3;10;;;;;;;;;;;;
309;272;AYACUCHO;LUCANAS;050609-300487: MUNICIPALIDAD DISTRITAL DE LEONCIO PRADO; S/-   ; S/175,206 ;3; S/175,206 ; S/175,206 ; S/175,206 ; S/175,206 ; S/175,206 ;100;5; S/1,095 ;2;10;;;;;;;;;;;;
394;273;CAJAMARCA;SAN MARCOS;061007-300648: MUNICIPALIDAD DISTRITAL DE JOSE SABOGAL; S/-   ; S/63,507 ;2; S/63,506 ; S/63,506 ; S/63,506 ; S/63,506 ; S/63,506 ;100;5; S/13,137 ;3;10;;;;;;;;;;;;
515;274;HUANCAVELICA;HUANCAVELICA;090114-300805: MUNICIPALIDAD DISTRITAL DE PALCA; S/-   ; S/315,182 ;3; S/315,182 ; S/315,182 ; S/315,182 ; S/315,182 ; S/315,182 ;100;5; S/1,906 ;2;10;;;;;;;;;;;;
561;275;HUANCAVELICA;TAYACAJA;090711-300878: MUNICIPALIDAD DISTRITAL DE PAZOS; S/500,000 ; S/498,230 ;3; S/498,229 ; S/498,029 ; S/498,029 ; S/498,029 ; S/498,029 ;100;5; S/5,198 ;2;10;;;;;;;;;;;;
573;276;HUANUCO;HUANUCO;100103-300887: MUNICIPALIDAD DISTRITAL DE CHINCHAO; S/-   ; S/34,500 ;2; S/34,500 ; S/34,500 ; S/34,500 ; S/34,500 ; S/34,500 ;100;5; S/13,159 ;3;10;;;;;;;;;;;;
581;277;HUANUCO;DOS DE MAYO;100301-300903: MUNICIPALIDAD PROVINCIAL DE DOS DE MAYO - LA UNION; S/-   ; S/119,834 ;3; S/119,834 ; S/119,833 ; S/119,833 ; S/119,833 ; S/119,833 ;100;5; S/7,093 ;2;10;;;;;;;;;;;;
607;278;HUANUCO;PACHITEA;100804-300940: MUNICIPALIDAD DISTRITAL DE UMARI; S/-   ; S/57,149 ;2; S/57,149 ; S/57,149 ; S/57,149 ; S/57,149 ; S/57,149 ;100;5; S/10,770 ;3;10;;;;;;;;;;;;
624;279;ICA;ICA;110103-300962: MUNICIPALIDAD DISTRITAL DE LOS AQUIJES; S/17,900 ; S/2,000 ;2; S/2,000 ; S/2,000 ; S/2,000 ; S/2,000 ; S/2,000 ;100;5; S/25,686 ;3;10;;;;;;;;;;;;
637;280;ICA;CHINCHA;110205-300978: MUNICIPALIDAD DISTRITAL DE EL CARMEN; S/-   ; S/10,000 ;2; S/10,000 ; S/10,000 ; S/10,000 ; S/10,000 ; S/10,000 ;100;5; S/13,940 ;3;10;;;;;;;;;;;;
657;281;ICA;PISCO;110507-301001: MUNICIPALIDAD DISTRITAL DE SAN CLEMENTE; S/20,000 ; S/2,880 ;2; S/2,880 ; S/2,880 ; S/2,880 ; S/2,880 ; S/2,880 ;100;5; S/28,904 ;3;10;;;;;;;;;;;;
711;282;JUNIN;SATIPO;120604-301093: MUNICIPALIDAD DISTRITAL DE MAZAMARI; S/18,000 ; S/34,000 ;2; S/34,000 ; S/34,000 ; S/34,000 ; S/34,000 ; S/34,000 ;100;5; S/43,191 ;3;10;;;;;;;;;;;;
754;283;LA LIBERTAD;JULCAN;130501-301157: MUNICIPALIDAD PROVINCIAL DE JULCAN; S/606,991 ; S/65,500 ;2; S/65,500 ; S/65,500 ; S/65,500 ; S/65,500 ; S/65,500 ;100;5; S/12,762 ;3;10;;;;;;;;;;;;
766;284;LA LIBERTAD;PATAZ;130801-301176: MUNICIPALIDAD PROVINCIAL DE PATAZ - TAYABAMBA; S/35,800 ; S/31,261 ;2; S/31,261 ; S/31,261 ; S/31,261 ; S/31,261 ; S/31,261 ;100;5; S/13,862 ;3;10;;;;;;;;;;;;
798;285;LAMBAYEQUE;CHICLAYO;140108-301219: MUNICIPALIDAD DISTRITAL DE MONSEFU; S/20,500 ; S/2,800 ;2; S/2,800 ; S/2,800 ; S/2,800 ; S/2,800 ; S/2,800 ;100;5; S/36,323 ;3;10;;;;;;;;;;;;
871;286;LIMA;CAÑETE;150511-301321: MUNICIPALIDAD DISTRITAL DE PACARAN; S/-   ; S/112,677 ;3; S/112,676 ; S/112,676 ; S/112,676 ; S/112,676 ; S/112,676 ;100;5; S/1,684 ;2;10;;;;;;;;;;;;
917;287;LORETO;ALTO AMAZONAS;160206-301439: MUNICIPALIDAD DISTRITAL DE LAGUNAS; S/-   ; S/17,600 ;2; S/17,600 ; S/17,600 ; S/17,600 ; S/17,600 ; S/17,600 ;100;5; S/14,459 ;3;10;;;;;;;;;;;;
932;288;LORETO;PUTUMAYO;160803-301855: MUNICIPALIDAD DISTRITAL DE TENIENTE MANUEL CLAVERO; S/291,477 ; S/189,000 ;3; S/189,000 ; S/189,000 ; S/189,000 ; S/189,000 ; S/189,000 ;100;5; S/5,875 ;2;10;;;;;;;;;;;;
956;289;PASCO;PASCO;190113-301513: MUNICIPALIDAD DISTRITAL DE YANACANCHA; S/-   ; S/18,692 ;2; S/18,691 ; S/18,691 ; S/18,691 ; S/18,691 ; S/18,691 ;100;5; S/21,286 ;3;10;;;;;;;;;;;;
983;290;PIURA;HUANCABAMBA;200302-301549: MUNICIPALIDAD DISTRITAL DE CANCHAQUE; S/-   ; S/126,925 ;3; S/126,923 ; S/126,922 ; S/126,922 ; S/126,922 ; S/126,922 ;100;5; S/7,317 ;2;10;;;;;;;;;;;;
994;291;PIURA;MORROPON;200410-301565: MUNICIPALIDAD DISTRITAL DE YAMANGO; S/32,500 ; S/108,500 ;3; S/108,500 ; S/108,500 ; S/108,500 ; S/108,500 ; S/108,500 ;100;5; S/8,501 ;2;10;;;;;;;;;;;;
1002;292;PIURA;SULLANA;200602-301574: MUNICIPALIDAD DISTRITAL DE BELLAVISTA; S/-   ; S/49,989 ;2; S/49,989 ; S/49,989 ; S/49,989 ; S/49,989 ; S/49,989 ;100;5; S/37,236 ;3;10;;;;;;;;;;;;
1011;293;PIURA;TALARA;200706-301586: MUNICIPALIDAD DISTRITAL DE MANCORA; S/-   ; S/25,098 ;2; S/25,098 ; S/25,098 ; S/25,098 ; S/25,098 ; S/25,098 ;100;5; S/14,116 ;3;10;;;;;;;;;;;;
1023;294;PUNO;PUNO;210107-301599: MUNICIPALIDAD DISTRITAL DE COATA; S/30,000 ; S/208,600 ;3; S/208,600 ; S/208,600 ; S/208,600 ; S/208,600 ; S/208,600 ;100;5; S/6,898 ;2;10;;;;;;;;;;;;
1052;295;PUNO;CARABAYA;210306-301628: MUNICIPALIDAD DISTRITAL DE CRUCERO; S/34,121 ; S/24,911 ;2; S/24,910 ; S/24,910 ; S/24,910 ; S/24,910 ; S/24,910 ;100;5; S/10,095 ;3;10;;;;;;;;;;;;
1113;296;PUNO;SANDIA;211205-301689: MUNICIPALIDAD DISTRITAL DE PHARA; S/170,000 ; S/152,143 ;3; S/152,084 ; S/152,084 ; S/152,084 ; S/152,084 ; S/152,084 ;100;5; S/6,145 ;2;10;;;;;;;;;;;;
1127;297;SAN MARTIN;MOYOBAMBA;220105-301705: MUNICIPALIDAD DISTRITAL DE SORITOR; S/-   ; S/29,500 ;2; S/29,500 ; S/29,500 ; S/29,500 ; S/29,500 ; S/29,500 ;100;5; S/22,909 ;3;10;;;;;;;;;;;;
1142;298;SAN MARTIN;MARISCAL CACERES;220602-301736: MUNICIPALIDAD DISTRITAL DE CAMPANILLA; S/-   ; S/20,000 ;2; S/20,000 ; S/20,000 ; S/20,000 ; S/20,000 ; S/20,000 ;100;5; S/17,190 ;3;10;;;;;;;;;;;;
1146;299;SAN MARTIN;PICOTA;220709-301748: MUNICIPALIDAD DISTRITAL DE TINGO DE PONASA; S/-   ; S/384,014 ;3; S/384,014 ; S/384,014 ; S/384,014 ; S/384,014 ; S/384,014 ;100;5; S/3,888 ;2;10;;;;;;;;;;;;
1157;300;SAN MARTIN;SAN MARTIN;220910-301768: MUNICIPALIDAD DISTRITAL DE MORALES; S/-   ; S/20,000 ;2; S/20,000 ; S/20,000 ; S/20,000 ; S/20,000 ; S/20,000 ;100;5; S/43,287 ;3;10;;;;;;;;;;;;
289;301;AYACUCHO;HUAMANGA;050113-300452: MUNICIPALIDAD DISTRITAL DE TAMBILLO; S/-   ; S/296,660 ;3; S/296,215 ; S/296,215 ; S/296,215 ; S/296,215 ; S/296,215 ;99.9;5; S/6,001 ;2;10;;;;;;;;;;;;
290;302;AYACUCHO;HUAMANGA;050114-300453: MUNICIPALIDAD DISTRITAL DE VINCHOS; S/-   ; S/70,000 ;2; S/69,904 ; S/69,904 ; S/69,904 ; S/69,904 ; S/69,904 ;99.9;5; S/16,233 ;3;10;;;;;;;;;;;;
618;303;HUANUCO;YAROWILCA;101103-300955: MUNICIPALIDAD DISTRITAL DE CHACABAMBA; S/82,005 ; S/621,030 ;4; S/621,029 ; S/620,179 ; S/620,179 ; S/620,179 ; S/620,179 ;99.9;5; S/898 ;1;10;;;;;;;;;;;;
1056;304;PUNO;CARABAYA;210310-301632: MUNICIPALIDAD DISTRITAL DE USICAYOS; S/40,000 ; S/283,429 ;3; S/283,056 ; S/283,056 ; S/283,056 ; S/283,056 ; S/283,056 ;99.9;5; S/8,586 ;2;10;;;;;;;;;;;;
393;305;CAJAMARCA;SAN MARCOS;061006-300647: MUNICIPALIDAD DISTRITAL DE JOSE MANUEL QUIROZ; S/-   ; S/214,960 ;3; S/214,552 ; S/214,552 ; S/214,552 ; S/214,552 ; S/214,552 ;99.8;5; S/3,627 ;2;10;;;;;;;;;;;;
133;306;ANCASH;SANTA;021808-300231: MUNICIPALIDAD DISTRITAL DE SANTA; S/1,520,154 ; S/68,648 ;2; S/68,647 ; S/68,447 ; S/68,447 ; S/68,447 ; S/68,447 ;99.7;5; S/22,689 ;3;10;;;;;;;;;;;;
1022;307;PUNO;PUNO;210106-301598: MUNICIPALIDAD DISTRITAL DE CHUCUITO; S/19,595 ; S/195,460 ;3; S/194,627 ; S/194,627 ; S/194,618 ; S/194,618 ; S/194,618 ;99.6;5; S/7,380 ;2;10;;;;;;;;;;;;
594;308;HUANUCO;HUAMALIES;100507-300922: MUNICIPALIDAD DISTRITAL DE MONZON; S/-   ; S/9,500 ;2; S/9,500 ; S/9,455 ; S/9,455 ; S/9,455 ; S/9,455 ;99.5;5; S/12,077 ;3;10;;;;;;;;;;;;
1086;309;PUNO;LAMPA;210710-301662: MUNICIPALIDAD DISTRITAL DE VILAVILA; S/20,000 ; S/161,839 ;3; S/161,838 ; S/161,833 ; S/161,103 ; S/161,103 ; S/161,103 ;99.5;5; S/1,139 ;2;10;;;;;;;;;;;;
1019;310;PUNO;PUNO;210103-301595: MUNICIPALIDAD DISTRITAL DE AMANTANI; S/12,000 ; S/454,980 ;3; S/454,979 ; S/452,809 ; S/451,649 ; S/451,649 ; S/451,649 ;99.3;5; S/3,430 ;2;10;;;;;;;;;;;;
1159;311;SAN MARTIN;SAN MARTIN;220913-301771: MUNICIPALIDAD DISTRITAL DE SAUCE; S/-   ; S/218,478 ;3; S/216,843 ; S/216,843 ; S/216,843 ; S/216,843 ; S/216,843 ;99.3;5; S/6,810 ;2;10;;;;;;;;;;;;
81;312;ANCASH; HUARAZ;020107-300091: MUNICIPALIDAD DISTRITAL DE LA LIBERTAD; S/-   ; S/227,484 ;3; S/225,524 ; S/225,524 ; S/225,524 ; S/225,524 ; S/216,258 ;99.1;5; S/1,110 ;2;10;;;;;;;;;;;;
138;313;ANCASH;SIHUAS;021908-300240: MUNICIPALIDAD DISTRITAL DE RAGASH; S/-   ; S/201,936 ;3; S/200,117 ; S/200,117 ; S/200,117 ; S/200,117 ; S/200,117 ;99.1;5; S/2,404 ;2;10;;;;;;;;;;;;
2;314;AMAZONAS;BAGUA;010204-300025: MUNICIPALIDAD DISTRITAL DE EL PARCO; S/27,382 ; S/143,906 ;3; S/143,906 ; S/142,530 ; S/142,530 ; S/142,530 ; S/142,530 ;99;5; S/1,287 ;2;10;;;;;;;;;;;;
565;315;HUANCAVELICA;TAYACAJA;090718-300884: MUNICIPALIDAD DISTRITAL DE TINTAY PUNCU; S/-   ; S/325,581 ;3; S/322,298 ; S/322,298 ; S/322,298 ; S/322,298 ; S/322,298 ;99;5; S/2,893 ;2;10;;;;;;;;;;;;
577;316;HUANUCO;HUANUCO;100112-301846: MUNICIPALIDAD DISTRITAL DE YACUS; S/-   ; S/317,727 ;3; S/314,921 ; S/314,664 ; S/314,664 ; S/314,664 ; S/314,664 ;99;5; S/5,092 ;2;10;;;;;;;;;;;;
739;317;LA LIBERTAD;TRUJILLO;130106-301132: MUNICIPALIDAD DISTRITAL DE LAREDO; S/9,320 ; S/24,320 ;2; S/24,071 ; S/24,071 ; S/24,071 ; S/24,071 ; S/24,071 ;99;5; S/43,024 ;3;10;;;;;;;;;;;;
775;318;LA LIBERTAD;PATAZ;130812-301187: MUNICIPALIDAD DISTRITAL DE TAURIJA; S/-   ; S/220,820 ;3; S/220,819 ; S/218,567 ; S/218,567 ; S/218,567 ; S/218,567 ;99;5; S/3,032 ;2;10;;;;;;;;;;;;
806;319;LAMBAYEQUE;CHICLAYO;140120-301231: MUNICIPALIDAD DISTRITAL DE TUMAN; S/7,300 ; S/86,152 ;2; S/86,152 ; S/86,152 ; S/86,152 ; S/85,222 ; S/85,222 ;98.9;5; S/39,773 ;3;10;;;;;;;;;;;;
835;320;LIMA;LIMA;150121-301270: MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE; S/435,956 ; S/203,776 ;3; S/203,771 ; S/203,771 ; S/203,771 ; S/201,614 ; S/201,614 ;98.9;5; S/6,990 ;2;10;;;;;;;;;;;;
595;321;HUANUCO;HUAMALIES;100510-300925: MUNICIPALIDAD DISTRITAL DE SINGA; S/-   ; S/250,896 ;3; S/247,807 ; S/247,793 ; S/247,793 ; S/247,793 ; S/247,793 ;98.8;5; S/3,039 ;2;10;;;;;;;;;;;;
444;322;CUSCO ;CANAS;080503-300718: MUNICIPALIDAD DISTRITAL DE KUNTURKANKI; S/300,000 ; S/135,441 ;3; S/133,700 ; S/133,700 ; S/133,700 ; S/133,700 ; S/133,700 ;98.7;5; S/5,178 ;2;10;;;;;;;;;;;;
674;323;JUNIN;CONCEPCION;120202-301032: MUNICIPALIDAD DISTRITAL DE ACO; S/-   ; S/160,227 ;3; S/160,147 ; S/158,147 ; S/158,147 ; S/158,147 ; S/158,147 ;98.7;5; S/1,643 ;2;10;;;;;;;;;;;;
1153;324;SAN MARTIN;SAN MARTIN;220904-301762: MUNICIPALIDAD DISTRITAL DE CHAZUTA; S/-   ; S/57,970 ;2; S/57,216 ; S/57,216 ; S/57,216 ; S/57,216 ; S/57,216 ;98.7;5; S/10,580 ;3;10;;;;;;;;;;;;
296;325;AYACUCHO;HUANTA;050403-300466: MUNICIPALIDAD DISTRITAL DE HUAMANGUILLA; S/-   ; S/211,416 ;3; S/208,499 ; S/208,499 ; S/208,499 ; S/208,499 ; S/208,499 ;98.6;5; S/4,188 ;2;10;;;;;;;;;;;;
554;326;HUANCAVELICA;TAYACAJA;090702-300869: MUNICIPALIDAD DISTRITAL DE ACOSTAMBO; S/-   ; S/396,107 ;3; S/396,106 ; S/390,141 ; S/390,141 ; S/390,141 ; S/390,141 ;98.5;5; S/3,365 ;2;10;;;;;;;;;;;;
1141;327;SAN MARTIN;LAMAS;220511-301734: MUNICIPALIDAD DISTRITAL DE ZAPATERO; S/-   ; S/161,471 ;3; S/159,010 ; S/159,010 ; S/159,010 ; S/159,010 ; S/159,010 ;98.5;5; S/5,857 ;2;10;;;;;;;;;;;;
365;328;CAJAMARCA;CUTERVO;060606-300610: MUNICIPALIDAD DISTRITAL DE PIMPINGOS; S/-   ; S/393,852 ;3; S/387,537 ; S/387,537 ; S/387,537 ; S/387,537 ; S/387,537 ;98.4;5; S/5,121 ;2;10;;;;;;;;;;;;
264;329;AREQUIPA;CAYLLOMA;040517-300411: MUNICIPALIDAD DISTRITAL DE TISCO; S/-   ; S/488,727 ;3; S/486,308 ; S/479,506 ; S/479,506 ; S/479,506 ; S/479,506 ;98.1;5; S/1,483 ;2;10;;;;;;;;;;;;
538;330;HUANCAVELICA;CHURCAMPA;090502-300843: MUNICIPALIDAD DISTRITAL DE ANCO; S/-   ; S/133,117 ;3; S/133,117 ; S/130,617 ; S/130,617 ; S/130,617 ; S/130,617 ;98.1;5; S/5,833 ;2;10;;;;;;;;;;;;
430;331;CUSCO ;ANTA;080304-300702: MUNICIPALIDAD DISTRITAL DE CHINCHAYPUJIO; S/-   ; S/121,500 ;3; S/118,854 ; S/118,854 ; S/118,854 ; S/118,854 ; S/118,854 ;97.8;5; S/4,333 ;2;10;;;;;;;;;;;;
617;332;HUANUCO;YAROWILCA;101102-300954: MUNICIPALIDAD DISTRITAL DE CAHUAC; S/-   ; S/558,750 ;4; S/550,637 ; S/550,637 ; S/550,637 ; S/545,562 ; S/537,361 ;97.6;5; S/928 ;1;10;;;;;;;;;;;;
450;333;CUSCO ;CANCHIS;080602-300725: MUNICIPALIDAD DISTRITAL DE CHECACUPE; S/400,000 ; S/142,570 ;3; S/142,570 ; S/142,570 ; S/142,570 ; S/139,073 ; S/139,073 ;97.5;5; S/5,217 ;2;10;;;;;;;;;;;;
789;334;LA LIBERTAD;GRAN CHIMU;131102-301206: MUNICIPALIDAD DISTRITAL DE LUCMA; S/-   ; S/263,073 ;3; S/260,671 ; S/258,371 ; S/256,371 ; S/256,371 ; S/256,371 ;97.5;5; S/4,866 ;2;10;;;;;;;;;;;;
953;335;PASCO;PASCO;190108-301508: MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DE ASIS DE YARUSYACAN; S/437,687 ; S/122,992 ;3; S/119,938 ; S/119,938 ; S/119,938 ; S/119,938 ; S/119,938 ;97.5;5; S/3,568 ;2;10;;;;;;;;;;;;
966;336;PASCO;OXAPAMPA;190306-301527: MUNICIPALIDAD DISTRITAL DE PUERTO BERMUDEZ; S/45,000 ; S/8,083 ;2; S/8,083 ; S/7,880 ; S/7,880 ; S/7,880 ; S/7,832 ;97.5;5; S/10,662 ;3;10;;;;;;;;;;;;
803;337;LAMBAYEQUE;CHICLAYO;140117-301228: MUNICIPALIDAD DISTRITAL DE PATAPO; S/4,000 ; S/38,000 ;2; S/37,000 ; S/37,000 ; S/37,000 ; S/37,000 ; S/37,000 ;97.4;5; S/25,022 ;3;10;;;;;;;;;;;;
1183;338;TUMBES;CONTRALMIRANTE VILLAR;240202-301811: MUNICIPALIDAD DISTRITAL DE CASITAS; S/200,000 ; S/320,423 ;3; S/319,538 ; S/318,538 ; S/312,136 ; S/312,136 ; S/312,136 ;97.4;5; S/2,700 ;2;10;;;;;;;;;;;;
1026;339;PUNO;PUNO;210110-301602: MUNICIPALIDAD DISTRITAL DE PAUCARCOLLA; S/5,000 ; S/215,644 ;3; S/209,522 ; S/209,522 ; S/209,522 ; S/209,522 ; S/209,522 ;97.2;5; S/4,368 ;2;10;;;;;;;;;;;;
338;340;CAJAMARCA;CAJAMARCA;060110-300558: MUNICIPALIDAD DISTRITAL DE MATARA; S/-   ; S/427,876 ;3; S/427,876 ; S/415,550 ; S/415,550 ; S/415,550 ; S/415,550 ;97.1;5; S/3,793 ;2;10;;;;;;;;;;;;
1043;341;PUNO;AZANGARO;210212-301619: MUNICIPALIDAD DISTRITAL DE SAN JOSE; S/-   ; S/328,302 ;3; S/328,302 ; S/319,538 ; S/319,538 ; S/318,122 ; S/318,122 ;96.9;5; S/4,923 ;2;10;;;;;;;;;;;;
38;342;AMAZONAS;RODRIGUEZ DE MENDOZA;010604-300069: MUNICIPALIDAD DISTRITAL DE HUAMBO; S/106,268 ; S/401,153 ;3; S/387,801 ; S/387,801 ; S/387,801 ; S/387,801 ; S/387,801 ;96.7;5; S/2,664 ;2;10;;;;;;;;;;;;
200;343;APURIMAC;GRAU;030712-300328: MUNICIPALIDAD DISTRITAL DE VILCABAMBA; S/-   ; S/423,751 ;3; S/407,178 ; S/407,178 ; S/407,178 ; S/407,178 ; S/407,178 ;96.1;5; S/1,324 ;2;10;;;;;;;;;;;;
613;344;HUANUCO;LAURICOCHA;101005-300950: MUNICIPALIDAD DISTRITAL DE RONDOS; S/-   ; S/397,470 ;3; S/397,469 ; S/393,094 ; S/382,039 ; S/382,039 ; S/382,039 ;96.1;5; S/3,356 ;2;10;;;;;;;;;;;;
